item,qty,price,date
1106,1,1.0000000,2021-05-31
1106,3,1.0000000,2021-06-02
1106,1,1.0000000,2021-06-03
1106,3,1.0000000,2021-06-18
1106,1,1.0000000,2021-06-25
1106,2,1.0000000,2021-07-12
1106,27,0.9545455,2021-07-13
1106,106,1.0000000,2021-07-14
1106,142,1.0000000,2021-07-15
1106,133,1.0000000,2021-07-16
1106,134,0.9887640,2021-07-17
1106,117,1.0000000,2021-07-18
1106,98,1.0000000,2021-07-19
1106,93,1.0000000,2021-07-20
1106,156,1.0000000,2021-07-21
1106,138,0.9887640,2021-07-22
1106,118,1.0000000,2021-07-23
1106,120,1.0000000,2021-07-24
1106,173,0.9827586,2021-07-25
1106,145,1.0000000,2021-07-26
1106,171,1.0000000,2021-07-27
1106,127,1.0000000,2021-07-28
1106,148,0.9811321,2021-07-29
1106,158,0.9905660,2021-07-30
1106,115,1.0000000,2021-07-31
1106,180,1.0000000,2021-08-01
1106,135,1.0000000,2021-08-02
1106,140,1.0000000,2021-08-03
1106,122,1.0000000,2021-08-04
1106,136,1.0000000,2021-08-05
1106,139,0.9896907,2021-08-06
1106,156,0.9805825,2021-08-07
1106,260,0.9883721,2021-08-08
1106,250,0.9873418,2021-08-09
1106,233,0.9936709,2021-08-10
1106,267,1.0000000,2021-08-11
1106,217,0.9863014,2021-08-12
1106,286,1.0000000,2021-08-13
1106,214,1.0000000,2021-08-14
1106,298,0.9784946,2021-08-15
1106,267,0.9874214,2021-08-16
1106,291,0.9782609,2021-08-17
1106,238,0.9863946,2021-08-18
1106,244,0.9876543,2021-08-19
1106,302,0.9841270,2021-08-20
1106,229,0.9935897,2021-08-21
1106,281,0.9889503,2021-08-22
1106,260,1.0000000,2021-08-23
1106,264,1.0000000,2021-08-24
1106,231,0.9847328,2021-08-25
1106,89,0.9818182,2021-08-26
1106,281,1.0000000,2021-08-27
1106,172,0.9743590,2021-08-28
1106,170,0.9711538,2021-08-29
1106,182,0.9915254,2021-08-30
1106,185,1.0000000,2021-08-31
1106,176,0.9912281,2021-09-01
1106,155,0.9902913,2021-09-02
1106,188,0.9912281,2021-09-03
1106,87,1.0000000,2021-09-04
1106,149,1.0000000,2021-09-05
1106,73,1.0000000,2021-09-06
1106,84,1.0000000,2021-09-07
1106,76,1.0000000,2021-09-08
1106,75,1.0000000,2021-09-09
1106,206,1.0065574,2021-09-10
1106,47,1.0000000,2021-09-11
1106,29,1.0000000,2021-09-12
1106,137,1.0000000,2021-09-13
1106,129,1.0000000,2021-09-14
